ID,predicted_rating
79426,4
79427,4
79428,4
79429,4
79430,4
79431,4
79432,4
79433,4
79434,1
79435,4
79436,4
79437,4
79438,4
79439,4
79440,4
79441,4
79442,4
79443,4
79444,1
79445,4
79446,4
79447,4
79448,1
79449,4
79450,4
79451,4
79452,4
79453,4
79454,4
79455,4
79456,4
79457,4
79458,1
79459,4
79460,4
79461,1
79462,4
79463,1
79464,4
79465,1
79466,4
79467,4
79468,4
79469,1
79470,4
79471,4
79472,4
79473,2
79474,4
79475,4
79476,1
79477,4
79478,1
79479,4
79480,4
79481,4
79482,4
79483,4
79484,4
79485,4
79486,1
79487,4
79488,4
79489,1
79490,4
79491,4
79492,4
79493,4
79494,4
79495,4
79496,4
79497,4
79498,4
79499,4
79500,4
79501,4
79502,4
79503,1
79504,4
79505,4
79506,4
79507,4
79508,4
79509,1
79510,4
79511,4
79512,2
79513,4
79514,1
79515,4
79516,4
79517,4
79518,1
79519,4
79520,1
79521,4
79522,4
79523,4
79524,4
79525,4
79526,4
79527,4
79528,4
79529,4
79530,4
79531,4
79532,1
79533,4
79534,1
79535,4
79536,1
79537,4
79538,4
79539,4
79540,4
79541,4
79542,4
79543,4
79544,1
79545,2
79546,4
79547,4
79548,4
79549,1
79550,1
79551,4
79552,4
79553,1
79554,1
79555,1
79556,4
79557,4
79558,4
79559,1
79560,4
79561,4
79562,4
79563,4
79564,2
79565,4
79566,4
79567,1
79568,4
79569,2
79570,4
79571,4
79572,4
79573,2
79574,1
79575,4
79576,4
79577,4
79578,4
79579,1
79580,1
79581,1
79582,1
79583,4
79584,4
79585,4
79586,4
79587,4
79588,4
79589,1
79590,4
79591,4
79592,4
79593,4
79594,4
79595,4
79596,4
79597,4
79598,1
79599,4
79600,4
79601,4
79602,4
79603,1
79604,4
79605,1
79606,4
79607,2
79608,1
79609,1
79610,4
79611,4
79612,4
79613,1
79614,4
79615,4
79616,4
79617,4
79618,4
79619,4
79620,1
79621,4
79622,4
79623,1
79624,4
79625,4
79626,1
79627,1
79628,4
79629,4
79630,1
79631,4
79632,4
79633,4
79634,4
79635,4
79636,4
79637,4
79638,4
79639,1
79640,4
79641,4
79642,4
79643,4
79644,1
79645,4
79646,4
79647,4
79648,4
79649,4
79650,1
79651,4
79652,4
79653,1
79654,4
79655,1
79656,4
79657,1
79658,4
79659,5
79660,4
79661,4
79662,4
79663,4
79664,4
79665,1
79666,4
79667,1
79668,4
79669,4
79670,1
79671,4
79672,4
79673,4
79674,4
79675,4
79676,2
79677,4
79678,4
79679,4
79680,1
79681,4
79682,4
79683,1
79684,1
79685,4
79686,1
79687,4
79688,1
79689,4
79690,1
79691,4
79692,4
79693,1
79694,1
79695,4
79696,4
79697,4
79698,1
79699,4
79700,1
79701,4
79702,4
79703,4
79704,1
79705,4
79706,4
79707,4
79708,1
79709,1
79710,4
79711,4
79712,1
79713,4
79714,4
79715,4
79716,4
79717,4
79718,4
79719,4
79720,1
79721,4
79722,4
79723,4
79724,4
79725,4
79726,1
79727,4
79728,4
79729,4
79730,4
79731,4
79732,1
79733,1
79734,4
79735,4
79736,4
79737,1
79738,4
79739,1
79740,1
79741,4
79742,1
79743,4
79744,4
79745,4
79746,4
79747,4
79748,4
79749,4
79750,4
79751,4
79752,4
79753,1
79754,4
79755,4
79756,4
79757,4
79758,4
79759,4
79760,1
79761,4
79762,4
79763,4
79764,1
79765,4
79766,4
79767,4
79768,4
79769,4
79770,4
79771,1
79772,1
79773,4
79774,1
79775,4
79776,4
79777,4
79778,4
79779,4
79780,4
79781,4
79782,4
79783,4
79784,1
79785,4
79786,4
79787,4
79788,4
79789,4
79790,4
79791,4
79792,4
79793,4
79794,4
79795,4
79796,4
79797,4
79798,4
79799,4
79800,4
79801,4
79802,4
79803,4
79804,4
79805,4
79806,4
79807,4
79808,4
79809,4
79810,4
79811,2
79812,4
79813,4
79814,4
79815,4
79816,4
79817,4
79818,1
79819,4
79820,4
79821,4
79822,1
79823,4
79824,4
79825,4
79826,4
79827,4
79828,1
79829,1
79830,2
79831,5
79832,1
79833,1
79834,4
79835,2
79836,4
79837,4
79838,4
79839,1
79840,1
79841,1
79842,4
79843,4
79844,4
79845,1
79846,4
79847,4
79848,1
79849,4
79850,1
79851,4
79852,4
79853,4
79854,4
79855,4
79856,4
79857,4
79858,1
79859,1
79860,4
79861,4
79862,1
79863,4
79864,4
79865,4
79866,1
79867,4
79868,4
79869,1
79870,4
79871,1
79872,4
79873,4
79874,1
79875,1
79876,1
79877,4
79878,1
79879,4
79880,4
79881,4
79882,4
79883,4
79884,4
79885,4
79886,4
79887,4
79888,1
79889,1
79890,4
79891,4
79892,4
79893,4
79894,4
79895,4
79896,1
79897,4
79898,4
79899,4
79900,4
79901,1
79902,4
79903,4
79904,4
79905,1
79906,4
79907,1
79908,2
79909,4
79910,4
79911,4
79912,4
79913,4
79914,1
79915,4
79916,1
79917,4
79918,4
79919,4
79920,4
79921,4
79922,4
79923,4
79924,1
79925,4
79926,1
79927,4
79928,4
79929,4
79930,4
79931,4
79932,4
79933,1
79934,4
79935,4
79936,4
79937,4
79938,1
79939,4
79940,4
79941,4
79942,1
79943,4
79944,4
79945,4
79946,1
79947,1
79948,4
79949,4
79950,4
79951,4
79952,1
79953,4
79954,4
79955,1
79956,4
79957,4
79958,4
79959,1
79960,1
79961,4
79962,1
79963,4
79964,1
79965,4
79966,1
79967,4
79968,1
79969,4
79970,4
79971,4
79972,4
79973,1
79974,4
79975,4
79976,4
79977,4
79978,4
79979,4
79980,4
79981,1
79982,1
79983,4
79984,1
79985,4
79986,4
79987,4
79988,4
79989,4
79990,4
79991,1
79992,1
79993,4
79994,1
79995,4
79996,4
79997,4
79998,4
79999,4
80000,4
80001,4
80002,4
80003,4
80004,4
80005,1
80006,4
80007,4
80008,4
80009,4
80010,4
80011,4
80012,4
80013,4
80014,1
80015,4
80016,1
80017,4
80018,1
80019,4
80020,4
80021,4
80022,4
80023,4
80024,4
80025,4
80026,4
80027,4
80028,4
80029,4
80030,1
80031,1
80032,4
80033,4
80034,4
80035,4
80036,1
80037,4
80038,1
80039,4
80040,4
80041,4
80042,1
80043,4
80044,4
80045,1
80046,4
80047,4
80048,4
80049,4
80050,4
80051,4
80052,4
80053,4
80054,1
80055,1
80056,1
80057,4
80058,4
80059,1
80060,4
80061,4
80062,1
80063,4
80064,1
80065,4
80066,4
80067,4
80068,4
80069,4
80070,4
80071,4
80072,4
80073,4
80074,4
80075,1
80076,4
80077,4
80078,4
80079,1
80080,1
80081,1
80082,1
80083,4
80084,1
80085,4
80086,4
80087,1
80088,4
80089,4
80090,4
80091,4
80092,4
80093,4
80094,4
80095,4
80096,1
80097,4
80098,4
80099,4
80100,4
80101,4
80102,4
80103,1
80104,4
80105,4
80106,4
80107,4
80108,1
80109,4
80110,4
80111,4
80112,4
80113,4
80114,4
80115,4
80116,1
80117,4
80118,4
80119,1
80120,4
80121,4
80122,4
80123,4
80124,4
80125,4
80126,4
80127,4
80128,4
80129,4
80130,4
80131,4
80132,4
80133,4
80134,4
80135,4
80136,4
80137,1
80138,4
80139,4
80140,4
80141,1
80142,1
80143,4
80144,4
80145,4
80146,4
80147,4
80148,4
80149,4
80150,4
80151,4
80152,4
80153,4
80154,4
80155,1
80156,4
80157,1
80158,1
80159,4
80160,4
80161,4
80162,1
80163,1
80164,1
80165,1
80166,4
80167,4
80168,4
80169,4
80170,4
80171,1
80172,4
80173,4
80174,1
80175,1
80176,4
80177,4
80178,1
80179,4
80180,1
80181,4
80182,4
80183,4
80184,4
80185,4
80186,4
80187,4
80188,4
80189,1
80190,4
80191,4
80192,4
80193,4
80194,4
80195,4
80196,4
80197,4
80198,4
80199,4
80200,4
80201,4
80202,1
80203,1
80204,4
80205,4
80206,4
80207,1
80208,4
80209,4
80210,4
80211,4
80212,4
80213,4
80214,4
80215,1
80216,4
80217,4
80218,5
80219,1
80220,4
80221,4
80222,4
80223,4
80224,4
80225,4
80226,1
80227,1
80228,1
80229,4
80230,1
80231,4
80232,4
80233,4
80234,4
80235,4
80236,4
80237,4
80238,4
80239,4
80240,1
80241,4
80242,4
80243,1
80244,4
80245,4
80246,1
80247,4
80248,4
80249,4
80250,4
80251,4
80252,4
80253,4
80254,4
80255,1
80256,1
80257,4
80258,4
80259,4
80260,4
80261,4
80262,1
80263,4
80264,4
80265,4
80266,4
80267,4
80268,4
80269,1
80270,4
80271,1
80272,1
80273,4
80274,4
80275,1
80276,1
80277,4
80278,4
80279,4
80280,1
80281,4
80282,4
80283,4
80284,4
80285,4
80286,1
80287,4
80288,4
80289,4
80290,4
80291,4
80292,4
80293,1
80294,4
80295,4
80296,4
80297,4
80298,4
80299,4
80300,1
80301,1
80302,4
80303,4
80304,1
80305,4
80306,1
80307,1
80308,4
80309,4
80310,1
80311,1
80312,1
80313,4
80314,1
80315,4
80316,4
80317,4
80318,4
80319,4
80320,1
80321,4
80322,4
80323,4
80324,1
80325,4
80326,4
80327,4
80328,4
80329,4
80330,4
80331,4
80332,1
80333,1
80334,4
80335,4
80336,4
80337,4
80338,4
80339,4
80340,1
80341,4
80342,4
80343,4
80344,4
80345,4
80346,4
80347,4
80348,1
80349,4
80350,4
80351,4
80352,4
80353,4
80354,4
80355,1
80356,4
80357,4
80358,4
80359,4
80360,4
80361,4
80362,4
80363,1
80364,4
80365,4
80366,4
80367,1
80368,4
80369,4
80370,4
80371,4
80372,1
80373,4
80374,4
80375,4
80376,4
80377,4
80378,4
80379,2
80380,4
80381,4
80382,4
80383,4
80384,1
80385,4
80386,4
80387,4
80388,1
80389,1
80390,4
80391,1
80392,4
80393,1
80394,1
80395,4
80396,4
80397,4
80398,1
80399,4
80400,4
80401,4
80402,4
80403,1
80404,4
80405,1
80406,4
80407,1
80408,4
80409,4
80410,1
80411,4
80412,4
80413,4
80414,4
80415,4
80416,4
80417,4
80418,4
80419,4
80420,4
80421,4
80422,4
80423,1
80424,1
80425,4
80426,4
80427,4
80428,4
80429,1
80430,4
80431,4
80432,4
80433,4
80434,4
80435,4
80436,1
80437,4
80438,4
80439,4
80440,4
80441,1
80442,4
80443,4
80444,5
80445,1
80446,4
80447,4
80448,1
80449,4
80450,4
80451,4
80452,4
80453,1
80454,4
80455,4
80456,4
80457,4
80458,4
80459,4
80460,4
80461,4
80462,1
80463,1
80464,4
80465,4
80466,1
80467,4
80468,4
80469,4
80470,4
80471,1
80472,1
80473,4
80474,1
80475,4
80476,1
80477,4
80478,2
80479,1
80480,4
80481,4
80482,4
80483,4
80484,4
80485,4
80486,4
80487,1
80488,1
80489,4
80490,1
80491,4
80492,1
80493,4
80494,1
80495,1
80496,4
80497,4
80498,4
80499,1
80500,4
80501,1
80502,4
80503,4
80504,4
80505,1
80506,4
80507,4
80508,1
80509,1
80510,2
80511,4
80512,1
80513,4
80514,4
80515,4
80516,4
80517,4
80518,4
80519,4
80520,1
80521,4
80522,4
80523,1
80524,4
80525,4
80526,4
80527,4
80528,4
80529,1
80530,1
80531,2
80532,4
80533,1
80534,4
80535,4
80536,4
80537,4
80538,1
80539,1
80540,1
80541,4
80542,4
80543,4
80544,1
80545,4
80546,4
80547,4
80548,4
80549,4
80550,4
80551,4
80552,5
80553,4
80554,1
80555,4
80556,1
80557,4
80558,4
80559,1
80560,4
80561,4
80562,4
80563,4
80564,4
80565,4
80566,4
80567,2
80568,4
80569,1
80570,4
80571,4
80572,1
80573,4
80574,4
80575,4
80576,1
80577,1
80578,4
80579,1
80580,4
80581,1
80582,4
80583,4
80584,4
80585,1
80586,4
80587,4
80588,4
80589,4
80590,4
80591,4
80592,1
80593,4
80594,4
80595,4
80596,4
80597,4
80598,4
80599,4
80600,4
80601,4
80602,4
80603,2
80604,4
80605,4
80606,4
80607,4
80608,4
80609,4
80610,4
80611,1
80612,4
80613,4
80614,4
80615,4
80616,4
80617,4
80618,4
80619,4
80620,4
80621,4
80622,4
80623,4
80624,4
80625,4
80626,4
80627,4
80628,4
80629,4
80630,4
80631,1
80632,4
80633,4
80634,4
80635,1
80636,2
80637,4
80638,4
80639,1
80640,1
80641,4
80642,4
80643,4
80644,4
80645,4
80646,4
80647,1
80648,4
80649,4
80650,1
80651,1
80652,4
80653,4
80654,1
80655,4
80656,4
80657,1
80658,4
80659,4
80660,4
80661,1
80662,4
80663,1
80664,4
80665,4
80666,4
80667,4
80668,4
80669,4
80670,4
80671,4
80672,4
80673,4
80674,4
80675,4
80676,1
80677,1
80678,4
80679,1
80680,1
80681,1
80682,1
80683,4
80684,4
80685,4
80686,4
80687,1
80688,1
80689,4
80690,4
80691,4
80692,4
80693,1
80694,4
80695,1
80696,1
80697,4
80698,4
80699,4
80700,4
80701,4
80702,4
80703,1
80704,4
80705,1
80706,1
80707,1
80708,4
80709,4
80710,4
80711,4
80712,1
80713,1
80714,1
80715,1
80716,1
80717,1
80718,1
80719,4
80720,4
80721,4
80722,4
80723,4
80724,1
80725,4
80726,4
80727,1
80728,4
80729,4
80730,4
80731,4
80732,1
80733,1
80734,4
80735,4
80736,4
80737,4
80738,1
80739,4
80740,4
80741,1
80742,4
80743,4
80744,4
80745,4
80746,4
80747,4
80748,1
80749,4
80750,4
80751,1
80752,4
80753,4
80754,4
80755,4
80756,2
80757,1
80758,4
80759,4
80760,4
80761,4
80762,4
80763,1
80764,4
80765,1
80766,2
80767,4
80768,4
80769,4
80770,1
80771,4
80772,4
80773,4
80774,4
80775,4
80776,4
80777,4
80778,4
80779,4
80780,4
80781,4
80782,4
80783,4
80784,4
80785,4
80786,4
80787,4
80788,4
80789,4
80790,1
80791,4
80792,4
80793,4
80794,1
80795,4
80796,1
80797,4
80798,4
80799,4
80800,1
80801,4
80802,4
80803,1
80804,1
80805,4
80806,4
80807,1
80808,1
80809,4
80810,4
80811,4
80812,4
80813,4
80814,4
80815,1
80816,4
80817,4
80818,1
80819,4
80820,4
80821,1
80822,4
80823,4
80824,4
80825,1
80826,4
80827,4
80828,4
80829,4
80830,1
80831,4
80832,1
80833,1
80834,1
80835,4
80836,4
80837,4
80838,1
80839,4
80840,4
80841,4
80842,1
80843,4
80844,1
80845,4
80846,4
80847,1
80848,4
80849,1
80850,4
80851,1
80852,4
80853,1
80854,4
80855,4
80856,4
80857,4
80858,4
80859,4
80860,1
80861,1
80862,4
80863,4
80864,4
80865,1
80866,4
80867,4
80868,4
80869,1
80870,4
80871,1
80872,4
80873,4
80874,4
80875,1
80876,4
80877,4
80878,4
80879,1
80880,4
80881,4
80882,4
80883,4
80884,4
80885,4
80886,4
80887,4
80888,4
80889,4
80890,4
80891,4
80892,4
80893,4
80894,1
80895,1
80896,4
80897,4
80898,1
80899,4
80900,4
80901,1
80902,4
80903,1
80904,4
80905,1
80906,4
80907,4
80908,4
80909,4
80910,4
80911,4
80912,1
80913,4
80914,4
80915,4
80916,4
80917,4
80918,4
80919,4
80920,4
80921,4
80922,4
80923,4
80924,1
80925,4
80926,4
80927,4
80928,4
80929,4
80930,4
80931,4
80932,4
80933,4
80934,1
80935,4
80936,4
80937,1
80938,4
80939,4
80940,1
80941,4
80942,4
80943,1
80944,4
80945,2
80946,4
80947,4
80948,4
80949,4
80950,1
80951,4
80952,5
80953,4
80954,4
80955,4
80956,4
80957,4
80958,4
80959,4
80960,4
80961,4
80962,1
80963,4
80964,4
80965,4
80966,4
80967,5
80968,4
80969,4
80970,4
80971,4
80972,4
80973,4
80974,1
80975,4
80976,4
80977,4
80978,1
80979,4
80980,4
80981,1
80982,4
80983,4
80984,4
80985,4
80986,1
80987,1
80988,1
80989,4
80990,4
80991,4
80992,1
80993,4
80994,4
80995,1
80996,4
80997,4
80998,4
80999,4
81000,4
81001,4
81002,4
81003,4
81004,4
81005,4
81006,1
81007,4
81008,4
81009,4
